"x" "y"
"1" -10141938.5632444 3267122.16519319
"2" -10141938.5632444 3157122.16519319
"3" -10141938.5632444 3047122.16519319
"4" -10141938.5632444 2937122.16519319
"5" -10031938.5632444 2827122.16519319
"6" -10031938.5632444 2717122.16519319
"7" -10031938.5632444 2607122.16519319
"8" -8381938.56324443 2607122.16519319
"9" -8491938.56324443 2497122.16519319
"10" -10141938.5632444 2387122.16519319
"11" -10031938.5632444 2387122.16519319
"12" -9811938.56324443 2387122.16519319
"13" -8601938.56324443 2387122.16519319
"14" -8491938.56324443 2387122.16519319
"15" -10031938.5632444 2277122.16519319
"16" -9921938.56324443 2277122.16519319
"17" -9591938.56324443 2277122.16519319
"18" -9371938.56324443 2277122.16519319
"19" -9261938.56324443 2277122.16519319
"20" -9041938.56324443 2277122.16519319
"21" -8931938.56324443 2277122.16519319
"22" -8821938.56324443 2277122.16519319
"23" -8711938.56324443 2277122.16519319
"24" -8601938.56324443 2277122.16519319
"25" -9701938.56324443 2167122.16519319
"26" -9371938.56324443 2167122.16519319
"27" -9261938.56324443 2167122.16519319
"28" -9151938.56324443 2167122.16519319
"29" -9041938.56324443 2167122.16519319
"30" -8931938.56324443 2167122.16519319
"31" -8821938.56324443 2167122.16519319
"32" -8711938.56324443 2167122.16519319
"33" -8601938.56324443 2167122.16519319
"34" -9701938.56324443 2057122.16519319
"35" -9591938.56324443 2057122.16519319
"36" -9041938.56324443 2057122.16519319
"37" -8821938.56324443 2057122.16519319
"38" -8711938.56324443 2057122.16519319
"39" -8601938.56324443 2057122.16519319
"40" -9481938.56324443 1947122.16519319
"41" -9371938.56324443 1947122.16519319
"42" -8931938.56324443 1947122.16519319
"43" -8821938.56324443 1947122.16519319
"44" -8711938.56324443 1947122.16519319
"45" -8601938.56324443 1947122.16519319
"46" -8491938.56324443 1947122.16519319
"47" -8381938.56324443 1947122.16519319
"48" -8271938.56324443 1947122.16519319
"49" -9041938.56324443 1837122.16519319
"50" -8931938.56324443 1837122.16519319
"51" -8821938.56324443 1837122.16519319
"52" -8711938.56324443 1837122.16519319
"53" -8601938.56324443 1837122.16519319
"54" -8491938.56324443 1837122.16519319
"55" -8381938.56324443 1837122.16519319
"56" -8271938.56324443 1837122.16519319
"57" -8821938.56324443 1727122.16519319
"58" -8491938.56324443 1727122.16519319
"59" -8381938.56324443 1727122.16519319
"60" -8271938.56324443 1727122.16519319
"61" -8491938.56324443 1617122.16519319
"62" -8381938.56324443 1617122.16519319
"63" -8271938.56324443 1617122.16519319
"64" -8491938.56324443 1507122.16519319
"65" -8381938.56324443 1507122.16519319
"66" -8271938.56324443 1507122.16519319
"67" -8491938.56324443 1397122.16519319
"68" -8381938.56324443 1397122.16519319
"69" -6951938.56324443 1397122.16519319
"70" -6841938.56324443 1397122.16519319
"71" -8381938.56324443 1287122.16519319
"72" -8271938.56324443 1287122.16519319
"73" -7501938.56324443 1287122.16519319
"74" -7391938.56324443 1287122.16519319
"75" -7281938.56324443 1287122.16519319
"76" -6841938.56324443 1287122.16519319
"77" -6731938.56324443 1287122.16519319
"78" -6621938.56324443 1287122.16519319
"79" -6401938.56324443 1287122.16519319
"80" -6291938.56324443 1287122.16519319
"81" -6071938.56324443 1287122.16519319
"82" -8381938.56324443 1177122.16519319
"83" -8271938.56324443 1177122.16519319
"84" -7501938.56324443 1177122.16519319
"85" -6731938.56324443 1177122.16519319
"86" -6621938.56324443 1177122.16519319
"87" -6511938.56324443 1177122.16519319
"88" -6401938.56324443 1177122.16519319
"89" -6291938.56324443 1177122.16519319
"90" -6181938.56324443 1177122.16519319
"91" -6071938.56324443 1177122.16519319
"92" -8271938.56324443 1067122.16519319
"93" -7941938.56324443 1067122.16519319
"94" -7831938.56324443 1067122.16519319
"95" -7721938.56324443 1067122.16519319
"96" -7611938.56324443 1067122.16519319
"97" -7501938.56324443 1067122.16519319
"98" -7391938.56324443 1067122.16519319
"99" -6951938.56324443 1067122.16519319
"100" -6841938.56324443 1067122.16519319
"101" -6731938.56324443 1067122.16519319
"102" -6621938.56324443 1067122.16519319
"103" -6511938.56324443 1067122.16519319
"104" -6401938.56324443 1067122.16519319
"105" -6291938.56324443 1067122.16519319
"106" -6181938.56324443 1067122.16519319
"107" -6071938.56324443 1067122.16519319
"108" -7721938.56324443 957122.16519319
"109" -7611938.56324443 957122.16519319
"110" -7501938.56324443 957122.16519319
"111" -7391938.56324443 957122.16519319
"112" -7171938.56324443 957122.16519319
"113" -7061938.56324443 957122.16519319
"114" -6951938.56324443 957122.16519319
"115" -6841938.56324443 957122.16519319
"116" -6731938.56324443 957122.16519319
"117" -6621938.56324443 957122.16519319
"118" -6511938.56324443 957122.16519319
"119" -6401938.56324443 957122.16519319
"120" -6291938.56324443 957122.16519319
"121" -6181938.56324443 957122.16519319
"122" -6071938.56324443 957122.16519319
"123" -5961938.56324443 957122.16519319
"124" -5851938.56324443 957122.16519319
"125" -7721938.56324443 847122.16519319
"126" -7611938.56324443 847122.16519319
"127" -7391938.56324443 847122.16519319
"128" -7171938.56324443 847122.16519319
"129" -7061938.56324443 847122.16519319
"130" -6951938.56324443 847122.16519319
"131" -6841938.56324443 847122.16519319
"132" -6731938.56324443 847122.16519319
"133" -6401938.56324443 847122.16519319
"134" -6291938.56324443 847122.16519319
