Taxon,x,y
DCRTBE155,16.800833,-88.078867
DCRTBE155,16.800833,-88.078867
DCRTBE156,16.800833,-88.078867
DCRTBE156,16.800833,-88.078867
DCRTBE157,16.800833,-88.078867
DCRTBE157,16.800833,-88.078867
DCRTBE161,16.800833,-88.078867
DCRTBE161,16.800833,-88.078867
DCRTBE170,16.800833,-88.078867
DCRTBE170,16.800833,-88.078867
DCRTBE171,16.800833,-88.078867
DCRTBE171,16.800833,-88.078867
DCRTBE172,16.800833,-88.078867
DCRTBE172,16.800833,-88.078867
DCRTBE173,16.800833,-88.078867
DCRTBE173,16.800833,-88.078867
DCRTBE174,16.800833,-88.078867
DCRTBE174,16.800833,-88.078867
DCRTBE175,16.800833,-88.078867
DCRTBE175,16.800833,-88.078867
DCRTBE177,16.800833,-88.078867
DCRTBE177,16.800833,-88.078867
DCRTBE178,16.800833,-88.078867
DCRTBE178,16.800833,-88.078867
DCRTBE179,16.800833,-88.078867
DCRTBE179,16.800833,-88.078867
DCRTBE180,16.800833,-88.078867
DCRTBE180,16.800833,-88.078867
DCRTBE181,16.800833,-88.078867
DCRTBE181,16.800833,-88.078867
DCRTBE182,16.800833,-88.078867
DCRTBE182,16.800833,-88.078867
DCRTBE183,16.800833,-88.078867
DCRTBE183,16.800833,-88.078867
DCRTBE185,16.800833,-88.078867
DCRTBE185,16.800833,-88.078867
DCRTBE186,16.800833,-88.078867
DCRTBE186,16.800833,-88.078867
DCRTBE187,16.800833,-88.078867
DCRTBE187,16.800833,-88.078867
DCRTBE188,16.800833,-88.078867
DCRTBE188,16.800833,-88.078867
DCRTBE189,16.800833,-88.078867
DCRTBE189,16.800833,-88.078867
DCRTBE190,16.800833,-88.078867
DCRTBE190,16.800833,-88.078867
DCRTBE191,16.800833,-88.078867
DCRTBE191,16.800833,-88.078867
DCRTBE193,16.800833,-88.078867
DCRTBE193,16.800833,-88.078867
DCRTBE195,16.800833,-88.078867
DCRTBE195,16.800833,-88.078867
DCRTBE196,16.800833,-88.078867
DCRTBE196,16.800833,-88.078867
DCRTBE197,16.800833,-88.078867
DCRTBE197,16.800833,-88.078867
DCRTBE198,16.800833,-88.078867
DCRTBE198,16.800833,-88.078867
DCRTBE199,16.800833,-88.078867
DCRTBE199,16.800833,-88.078867
DCRTBE200,16.800833,-88.078867
DCRTBE200,16.800833,-88.078867
DCRTBE202,16.800833,-88.078867
DCRTBE202,16.800833,-88.078867
DCRTBE203,16.800833,-88.078867
DCRTBE203,16.800833,-88.078867
DCRTBE207,16.800833,-88.078867
DCRTBE207,16.800833,-88.078867
DCRTBE214,16.800833,-88.078867
DCRTBE214,16.800833,-88.078867
DCRTBH368,24.058499,-74.541294
DCRTBH368,24.058499,-74.541294
DCRTBH369,24.058499,-74.541294
DCRTBH369,24.058499,-74.541294
DCRTBH371,24.058499,-74.541294
DCRTBH371,24.058499,-74.541294
DCRTBH372,24.058499,-74.541294
DCRTBH372,24.058499,-74.541294
DCRTBH373,24.058499,-74.541294
DCRTBH373,24.058499,-74.541294
DCRTBH374,24.058499,-74.541294
DCRTBH374,24.058499,-74.541294
DCRTBH375,24.058499,-74.541294
DCRTBH375,24.058499,-74.541294
DCRTBH377,24.058499,-74.541294
DCRTBH377,24.058499,-74.541294
DCRTBH378,24.058499,-74.541294
DCRTBH378,24.058499,-74.541294
DCRTBH379,24.058499,-74.541294
DCRTBH379,24.058499,-74.541294
DCRTBH380,24.058499,-74.541294
DCRTBH380,24.058499,-74.541294
DCRTBH381,24.058499,-74.541294
DCRTBH381,24.058499,-74.541294
DCRTBH382,24.058499,-74.541294
DCRTBH382,24.058499,-74.541294
DCRTBH383,24.058499,-74.541294
DCRTBH383,24.058499,-74.541294
DCRTBH384,24.058499,-74.541294
DCRTBH384,24.058499,-74.541294
DCRTBH385,24.058499,-74.541294
DCRTBH385,24.058499,-74.541294
DCRTBH386,24.058499,-74.541294
DCRTBH386,24.058499,-74.541294
DCRTBH387,24.058499,-74.541294
DCRTBH387,24.058499,-74.541294
DCRTBT56,9.377698,-82.303201
DCRTBT56,9.377698,-82.303201
DCRTBT66,9.377698,-82.303201
DCRTBT66,9.377698,-82.303201
DCRTBT68,9.377698,-82.303201
DCRTBT68,9.377698,-82.303201
DCRTBT70,9.377698,-82.303201
DCRTBT70,9.377698,-82.303201
DCRTBT71,9.377698,-82.303201
DCRTBT71,9.377698,-82.303201
DCRTCOL472,12.511436,-81.731
DCRTCOL472,12.511436,-81.731
DCRTCOL473,12.511436,-81.731
DCRTCOL473,12.511436,-81.731
DCRTCOL475,12.511436,-81.731
DCRTCOL475,12.511436,-81.731
DCRTCOL476,12.511436,-81.731
DCRTCOL476,12.511436,-81.731
DCRTCOL477,12.511436,-81.731
DCRTCOL477,12.511436,-81.731
DCRTCOL478,12.511436,-81.731
DCRTCOL478,12.511436,-81.731
DCRTCOL479,12.511436,-81.731
DCRTCOL479,12.511436,-81.731
DCRTCOL480,12.511436,-81.731
DCRTCOL480,12.511436,-81.731
DCRTCOL481,12.511436,-81.731
DCRTCOL481,12.511436,-81.731
DCRTCOL482,12.511436,-81.731
DCRTCOL482,12.511436,-81.731
DCRTCOL483,12.511436,-81.731
DCRTCOL483,12.511436,-81.731
DCRTCOL484,12.511436,-81.731
DCRTCOL484,12.511436,-81.731
DCRTCOL486,12.511436,-81.731
DCRTCOL486,12.511436,-81.731
DCRTCOL487,12.511436,-81.731
DCRTCOL487,12.511436,-81.731
DCRTCOL488,12.511436,-81.731
DCRTCOL488,12.511436,-81.731
DCRTCOL489,12.511436,-81.731
DCRTCOL489,12.511436,-81.731
DCRTCOL490,12.511436,-81.731
DCRTCOL490,12.511436,-81.731
DCRTCOL491,12.511436,-81.731
DCRTCOL491,12.511436,-81.731
DCRTCOL492,12.511436,-81.731
DCRTCOL492,12.511436,-81.731
DCRTCOL493,12.511436,-81.731
DCRTCOL493,12.511436,-81.731
DCRTCOL495,12.511436,-81.731
DCRTCOL495,12.511436,-81.731
DCRTCOL496,12.511436,-81.731
DCRTCOL496,12.511436,-81.731
DCRTCOL497,12.511436,-81.731
DCRTCOL497,12.511436,-81.731
DCRTCOL498,12.511436,-81.731
DCRTCOL498,12.511436,-81.731
DCRTCOL499,12.511436,-81.731
DCRTCOL499,12.511436,-81.731
DCRTCOL500,12.511436,-81.731
DCRTCOL500,12.511436,-81.731
DCRTCOL501,12.511436,-81.731
DCRTCOL501,12.511436,-81.731
DCRTCOL502,12.511436,-81.731
DCRTCOL502,12.511436,-81.731
DCRTCOL503,12.511436,-81.731
DCRTCOL503,12.511436,-81.731
DCRTCOL504,12.511436,-81.731
DCRTCOL504,12.511436,-81.731
DCRTCOL505,12.511436,-81.731
DCRTCOL505,12.511436,-81.731
DCRTCOL506,12.511436,-81.731
DCRTCOL506,12.511436,-81.731
DCRTCOL507,12.511436,-81.731
DCRTCOL507,12.511436,-81.731
DCRTCOL508,12.511436,-81.731
DCRTCOL508,12.511436,-81.731
DCRTCOL509,12.511436,-81.731
DCRTCOL509,12.511436,-81.731
DCRTCOL510,12.511436,-81.731
DCRTCOL510,12.511436,-81.731
DCRTCOL511,12.511436,-81.731
DCRTCOL511,12.511436,-81.731
DCRTCOL512,12.511436,-81.731
DCRTCOL512,12.511436,-81.731
DCRTCOL513,12.511436,-81.731
DCRTCOL513,12.511436,-81.731
DCRTCOL514,12.511436,-81.731
DCRTCOL514,12.511436,-81.731
DCRTCOL516,12.511436,-81.731
DCRTCOL516,12.511436,-81.731
DCRTCOL517,12.511436,-81.731
DCRTCOL517,12.511436,-81.731
DCRTCOL519,12.511436,-81.731
DCRTCOL519,12.511436,-81.731
DCRTCOL520,12.511436,-81.731
DCRTCOL520,12.511436,-81.731
DCRTCOL521,12.511436,-81.731
DCRTCOL521,12.511436,-81.731
DCRTCOL522,12.511436,-81.731
DCRTCOL522,12.511436,-81.731
DCRTCOL523,12.511436,-81.731
DCRTCOL523,12.511436,-81.731
DCRTCOL524,12.511436,-81.731
DCRTCOL524,12.511436,-81.731
DCRTCOL525,12.511436,-81.731
DCRTCOL525,12.511436,-81.731
DCRTCOL526,12.511436,-81.731
DCRTCOL526,12.511436,-81.731
DCRTCOL528,12.511436,-81.731
DCRTCOL528,12.511436,-81.731
DCRTCOL529,12.511436,-81.731
DCRTCOL529,12.511436,-81.731
DCRTCOL530,12.511436,-81.731
DCRTCOL530,12.511436,-81.731
DCRTCOL531,12.511436,-81.731
DCRTCOL531,12.511436,-81.731
DCRTCOL532,12.511436,-81.731
DCRTCOL532,12.511436,-81.731
DCRTCOL534,12.511436,-81.731
DCRTCOL534,12.511436,-81.731
DCRTCOL535,12.511436,-81.731
DCRTCOL535,12.511436,-81.731
DCRTCOL536,12.511436,-81.731
DCRTCOL536,12.511436,-81.731
DCRTCOL537,12.511436,-81.731
DCRTCOL537,12.511436,-81.731
DCRTCOL538,12.511436,-81.731
DCRTCOL538,12.511436,-81.731
DCRTCOL539,12.511436,-81.731
DCRTCOL539,12.511436,-81.731
DCRTCOL540,12.511436,-81.731
DCRTCOL540,12.511436,-81.731
DCRTCOL541,12.511436,-81.731
DCRTCOL541,12.511436,-81.731
DCRTFTL105,26.142213,-80.096518
DCRTFTL105,26.142213,-80.096518
DCRTFTL106,26.142213,-80.096518
DCRTFTL106,26.142213,-80.096518
DCRTFTL107,26.142213,-80.096518
DCRTFTL107,26.142213,-80.096518
DCRTFTL109,26.142213,-80.096518
DCRTFTL109,26.142213,-80.096518
DCRTFTL110,26.142213,-80.096518
DCRTFTL110,26.142213,-80.096518
DCRTFTL111,26.142213,-80.096518
DCRTFTL111,26.142213,-80.096518
DCRTFTL112,26.142213,-80.096518
DCRTFTL112,26.142213,-80.096518
DCRTFTL114,26.142213,-80.096518
DCRTFTL114,26.142213,-80.096518
DCRTFTL116,26.142213,-80.096518
DCRTFTL116,26.142213,-80.096518
DCRTFTL117,26.142213,-80.096518
DCRTFTL117,26.142213,-80.096518
DCRTFTL119,26.142213,-80.096518
DCRTFTL119,26.142213,-80.096518
DCRTFTL121,26.142213,-80.096518
DCRTFTL121,26.142213,-80.096518
DCRTFTL122,26.142213,-80.096518
DCRTFTL122,26.142213,-80.096518
DCRTFTL123,26.142213,-80.096518
DCRTFTL123,26.142213,-80.096518
DCRTFTL125,26.142213,-80.096518
DCRTFTL125,26.142213,-80.096518
DCRTFTL126,26.142213,-80.096518
DCRTFTL126,26.142213,-80.096518
DCRTFTL128,26.142213,-80.096518
DCRTFTL128,26.142213,-80.096518
DCRTFTL130,26.142213,-80.096518
DCRTFTL130,26.142213,-80.096518
DCRTFTL131,26.142213,-80.096518
DCRTFTL131,26.142213,-80.096518
DCRTFTL132,26.142213,-80.096518
DCRTFTL132,26.142213,-80.096518
DCRTFTL133,26.142213,-80.096518
DCRTFTL133,26.142213,-80.096518
DCRTFTL134,26.142213,-80.096518
DCRTFTL134,26.142213,-80.096518
DCRTFTL135,26.142213,-80.096518
DCRTFTL135,26.142213,-80.096518
DCRTFTL136,26.142213,-80.096518
DCRTFTL136,26.142213,-80.096518
DCRTFTL137,26.142213,-80.096518
DCRTFTL137,26.142213,-80.096518
DCRTFTL138,26.142213,-80.096518
DCRTFTL138,26.142213,-80.096518
DCRTFTL139,26.142213,-80.096518
DCRTFTL139,26.142213,-80.096518
DCRTFTL140,26.142213,-80.096518
DCRTFTL140,26.142213,-80.096518
DCRTFTL141,26.142213,-80.096518
