species	logCRC	CCp	LCp	CBp	CABp	CMp	LMp	CD1p	CD3p	LDD3p	CCXp	CTBp	CTAp	CPp	LPp	CA1p	CA4p	LDA4p	DOp	DIOp	DTp	
Agalychnis_annae	4.09	0.30	0.31	0.18	0.20	0.31	0.19	0.14	0.25	0.07	0.49	0.47	0.28	0.39	0.18	0.14	0.31	0.06	0.10	0.18	0.05	
Agalychnis_callidryas	3.84	0.32	0.34	0.19	0.22	0.28	0.18	0.13	0.22	0.06	0.52	0.55	0.34	0.34	0.16	0.12	0.27	0.05	0.11	0.21	0.06	
Agalychnis_dacnicolor	4.39	0.29	0.33	0.17	0.23	0.28	0.20	0.15	0.20	0.04	0.43	0.39	0.25	0.36	0.19	0.13	0.27	0.04	0.08	0.19	0.06	
Agalychnis_lemur	3.40	0.31	0.33	0.18	0.21	0.29	0.16	0.11	0.21	0.04	0.48	0.53	0.33	0.36	0.17	0.13	0.27	0.04	0.11	0.18	0.06	
Agalychnis_saltator	3.71	0.29	0.31	0.17	0.18	0.27	0.18	0.12	0.20	0.05	0.52	0.50	0.29	0.35	0.17	0.13	0.27	0.05	0.12	0.19	0.06	
Agalychnis_spurrelli	4.21	0.32	0.31	0.19	0.21	0.31	0.18	0.14	0.22	0.08	0.46	0.53	0.29	0.38	0.18	0.13	0.30	0.06	0.11	0.20	0.06	
Agalychnis_taylori	3.82	0.28	0.35	0.17	0.22	0.28	0.18	0.14	0.21	0.05	0.52	0.49	0.31	0.33	0.16	0.12	0.27	0.04	0.12	0.20	0.06	
Callimedusa_atelopoides	3.64	0.35	0.39	0.23	0.26	0.26	0.17	0.12	0.18	0.03	0.41	0.38	0.26	0.31	0.19	0.12	0.26	0.03	0.13	0.22	0.07	
Callimedusa_duellmani	3.78	0.33	0.35	0.24	0.29	0.29	0.19	0.13	0.21	0.04	0.49	0.50	0.37	0.36	0.21	0.15	0.26	0.04	0.13	0.22	0.06	
Callimedusa_perinesos	3.92	0.30	0.33	0.21	0.27	0.31	0.20	0.13	0.24	0.06	0.48	0.48	0.32	0.39	0.20	0.15	0.30	0.05	0.12	0.19	0.07	
Callimedusa_tomopterna	3.79	0.33	0.34	0.23	0.24	0.28	0.17	0.12	0.20	0.05	0.48	0.48	0.33	0.36	0.19	0.14	0.27	0.05	0.11	0.21	0.06	
Hylomantis_aspera	3.75	0.33	0.36	0.20	0.24	0.24	0.16	0.11	0.17	0.04	0.50	0.49	0.33	0.30	0.17	0.12	0.23	0.04	0.11	0.20	0.05	
Hylomantis_granulosa	3.59	0.33	0.36	0.20	0.24	0.23	0.16	0.11	0.18	0.04	0.49	0.47	0.33	0.30	0.17	0.12	0.24	0.04	0.11	0.21	0.05	
Phasmahyla_cochranae	3.46	0.32	0.37	0.23	0.27	0.25	0.17	0.12	0.19	0.04	0.46	0.46	0.31	0.33	0.19	0.14	0.26	0.04	0.11	0.20	0.04	
Phasmahyla_cruzi	3.46	0.30	0.32	0.20	0.28	0.22	0.17	0.12	0.20	0.04	0.53	0.56	0.36	0.32	0.18	0.14	0.27	0.04	0.11	0.19	0.03	
Phasmahyla_exilis	3.43	0.31	0.32	0.23	0.26	0.24	0.16	0.12	0.18	0.03	0.50	0.52	0.35	0.33	0.18	0.13	0.26	0.04	0.11	0.20	0.04	
Phasmahyla_guttata	3.53	0.32	0.35	0.23	0.27	0.26	0.17	0.12	0.19	0.04	0.50	0.51	0.33	0.34	0.18	0.13	0.27	0.03	0.11	0.20	0.04	
Phasmahyla_jandaia	3.36	0.32	0.36	0.26	0.29	0.24	0.16	0.12	0.18	0.03	0.47	0.48	0.34	0.32	0.18	0.13	0.24	0.03	0.11	0.19	0.04	
Phasmahyla_lisbella	3.46	0.33	0.35	0.24	0.29	0.23	0.16	0.11	0.16	0.03	0.51	0.52	0.34	0.30	0.18	0.09	0.23	0.03	0.11	0.20	0.04	
Phasmahyla_spectabilis	3.57	0.31	0.34	0.24	0.26	0.23	0.16	0.12	0.19	0.04	0.50	0.52	0.34	0.33	0.18	0.14	0.25	0.04	0.12	0.20	0.04	
Phasmahyla_timbo	3.57	0.32	0.36	0.23	0.26	0.24	0.16	0.11	0.19	0.04	0.48	0.49	0.32	0.31	0.17	0.13	0.26	0.04	0.12	0.20	0.04	
Phrynomedusa_appendiculata	3.51	0.33	0.34	0.19	0.23	0.30	0.21	0.16	0.23	0.05	0.48	0.49	0.34	0.39	0.20	0.14	0.32	0.05	0.10	0.24	0.05	
Phrynomedusa_dryade	3.43	0.34	0.35	0.17	0.22	0.28	0.18	0.13	0.20	0.04	0.46	0.47	0.30	0.37	0.18	0.14	0.29	0.03	0.11	0.22	0.05	
Phrynomedusa_marginata	3.39	0.35	0.34	0.18	0.22	0.28	0.17	0.13	0.22	0.05	0.48	0.48	0.30	0.38	0.18	0.14	0.31	0.05	0.12	0.23	0.05	
Phyllomedusa_bahiana	4.17	0.31	0.34	0.21	0.28	0.27	0.19	0.13	0.19	0.03	0.44	0.43	0.31	0.35	0.21	0.14	0.22	0.03	0.10	0.20	0.06	
Phyllomedusa_bicolor	4.62	0.30	0.36	0.22	0.27	0.33	0.23	0.17	0.23	0.05	0.43	0.43	0.30	0.39	0.23	0.17	0.27	0.04	0.09	0.21	0.06	
Phyllomedusa_boliviana	4.12	0.33	0.36	0.21	0.28	0.29	0.21	0.14	0.20	0.03	0.45	0.41	0.30	0.36	0.21	0.13	0.21	0.03	0.10	0.20	0.07	
Phyllomedusa_burmeisteri	4.11	0.31	0.34	0.21	0.29	0.28	0.19	0.13	0.20	0.03	0.45	0.44	0.32	0.36	0.22	0.14	0.23	0.03	0.10	0.20	0.06	
Phyllomedusa_camba	4.15	0.32	0.35	0.22	0.28	0.29	0.20	0.14	0.21	0.04	0.48	0.48	0.34	0.35	0.22	0.15	0.25	0.04	0.11	0.20	0.06	
Phyllomedusa_chaparroi	4.14	0.31	0.36	0.22	0.30	0.30	0.22	0.15	0.20	0.04	0.48	0.50	0.35	0.35	0.22	0.14	0.23	0.03	0.10	0.19	0.06	
Phyllomedusa_distincta	3.91	0.31	0.34	0.21	0.27	0.29	0.19	0.13	0.19	0.03	0.44	0.43	0.30	0.36	0.21	0.15	0.22	0.03	0.10	0.20	0.06	
Phyllomedusa_iheringii	4.00	0.31	0.33	0.20	0.26	0.31	0.21	0.14	0.21	0.03	0.43	0.42	0.29	0.38	0.22	0.15	0.23	0.03	0.10	0.19	0.06	
Phyllomedusa_sauvagii	4.18	0.31	0.36	0.20	0.27	0.29	0.20	0.14	0.20	0.03	0.43	0.42	0.29	0.36	0.21	0.14	0.22	0.03	0.10	0.20	0.06	
Phyllomedusa_tarsius	4.28	0.30	0.34	0.21	0.28	0.29	0.20	0.14	0.21	0.04	0.48	0.48	0.34	0.35	0.21	0.15	0.24	0.04	0.10	0.19	0.06	
Phyllomedusa_tetraploidea	4.05	0.32	0.34	0.20	0.28	0.30	0.20	0.14	0.20	0.03	0.44	0.42	0.30	0.38	0.22	0.15	0.23	0.03	0.10	0.20	0.06	
Phyllomedusa_trinitatis	4.19	0.31	0.33	0.21	0.28	0.27	0.19	0.14	0.21	0.03	0.45	0.47	0.33	0.35	0.21	0.15	0.26	0.03	0.10	0.19	0.06	
Phyllomedusa_vaillantii	3.96	0.33	0.35	0.24	0.30	0.25	0.19	0.12	0.16	0.03	0.44	0.42	0.30	0.31	0.18	0.12	0.20	0.03	0.11	0.20	0.06	
Pithecopus_araguaius	3.47	0.30	0.30	0.22	0.25	0.25	0.16	0.11	0.19	0.03	0.45	0.44	0.32	0.34	0.21	0.16	0.26	0.03	0.11	0.18	0.04	
Pithecopus_ayeaye	3.59	0.33	0.33	0.22	0.27	0.30	0.19	0.13	0.21	0.03	0.43	0.41	0.31	0.37	0.23	0.16	0.28	0.03	0.11	0.19	0.05	
Pithecopus_azureus	3.58	0.29	0.29	0.21	0.25	0.26	0.16	0.11	0.19	0.03	0.41	0.41	0.29	0.34	0.21	0.15	0.25	0.03	0.10	0.17	0.04	
Pithecopus_centralis	3.85	0.30	0.32	0.23	0.26	0.28	0.18	0.13	0.20	0.02	0.41	0.39	0.30	0.35	0.21	0.16	0.27	0.03	0.10	0.19	0.05	
Pithecopus_gonzagai	3.49	0.31	0.31	0.20	0.25	0.27	0.17	0.12	0.19	0.03	0.42	0.42	0.31	0.34	0.22	0.16	0.27	0.03	0.11	0.19	0.04	
Pithecopus_hypochondrialis	3.54	0.30	0.31	0.22	0.25	0.26	0.16	0.11	0.19	0.03	0.44	0.44	0.32	0.34	0.22	0.15	0.26	0.03	0.11	0.18	0.04	
Pithecopus_megacephalus	3.63	0.32	0.34	0.21	0.27	0.28	0.18	0.13	0.20	0.03	0.42	0.40	0.30	0.36	0.22	0.15	0.28	0.03	0.10	0.20	0.04	
Pithecopus_nordestinus	3.55	0.31	0.31	0.21	0.26	0.27	0.17	0.12	0.19	0.03	0.43	0.43	0.32	0.35	0.22	0.16	0.26	0.03	0.10	0.20	0.04	
Pithecopus_oreades	3.50	0.32	0.32	0.23	0.27	0.28	0.17	0.12	0.20	0.02	0.42	0.40	0.30	0.36	0.22	0.16	0.27	0.03	0.11	0.19	0.05	
Pithecopus_palliatus	3.56	0.32	0.34	0.22	0.27	0.28	0.17	0.12	0.20	0.04	0.46	0.47	0.35	0.36	0.23	0.17	0.28	0.04	0.11	0.20	0.04	
Pithecopus_rohdei	3.67	0.32	0.33	0.22	0.28	0.27	0.17	0.13	0.20	0.03	0.43	0.43	0.32	0.35	0.22	0.16	0.27	0.03	0.12	0.19	0.05	
Pithecopus_rusticus	3.62	0.29	0.30	0.21	0.25	0.27	0.19	0.13	0.21	0.03	0.39	0.37	0.26	0.35	0.22	0.15	0.28	0.03	0.09	0.18	0.04	
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
