"taxon" "X" "Y"
"1" "Tamias_palmeri" -1658985.51012005 -258349.828215228
"2" "Tamias_palmeri" -1661613.52063013 -251537.466309709
"3" "Tamias_palmeri" -1665535.16318595 -259331.528624266
"4" "Tamias_palmeri" -1664212.53624683 -248973.652199075
"5" "Tamias_palmeri" -1662467.51123272 -252399.602518005
"6" "Tamias_palmeri" -1660514.31037648 -269160.511156565
"7" "Tamias_palmeri" -1655320.00744262 -253582.160807247
"8" "Tamias_palmeri" -1661841.26404182 -261305.047032262
"9" "Tamias_palmeri" -1655723.96747699 -254345.547485202
"10" "Tamias_palmeri" -1656840.57452203 -256447.595602779
"11" "Tamias_durangae" -1020428.92844221 -1548924.66940009
"12" "Tamias_durangae" -1049027.82746386 -1649358.43970169
"13" "Tamias_durangae" -1008545.52553707 -1551480.6609199
"14" "Tamias_durangae" -966795.74928499 -1785183.1854767
"15" "Tamias_durangae" -1043323.80996589 -1687974.75395466
"16" "Tamias_durangae" -995757.36819512 -1591300.01375574
"17" "Tamias_durangae" -1058440.75433799 -1537633.66413158
"18" "Tamias_durangae" -963755.070493367 -1717646.27504162
"19" "Tamias_durangae" -1041517.50553619 -1614067.00852102
"20" "Tamias_durangae" -479309.551203471 -1696324.62295672
"21" "Tamias_merriami" -2169446.7674592 -4988.30717923166
"22" "Tamias_merriami" -1926893.43664541 -216137.988313553
"23" "Tamias_merriami" -1904076.00674248 -384128.110304735
"24" "Tamias_merriami" -1804290.57943809 -485303.975604287
"25" "Tamias_merriami" -1966018.33227063 -373152.988198818
"26" "Tamias_merriami" -1888410.21741784 -141124.023627561
"27" "Tamias_merriami" -1899214.24200628 -130046.979304652
"28" "Tamias_merriami" -1834779.60654869 -456810.525108133
"29" "Tamias_merriami" -1907689.24701725 -204854.444289195
"30" "Tamias_merriami" -1849649.9863104 -468762.491803404
"31" "Tamias_obscurus" -1796925.31447848 -729708.743446868
"32" "Tamias_obscurus" -1783896.4519286 -761185.394429905
"33" "Tamias_obscurus" -1798669.18820458 -759559.268124749
"34" "Tamias_obscurus" -1784388.58747501 -730637.010599022
"35" "Tamias_obscurus" -1791492.89275158 -538631.597992321
"36" "Tamias_obscurus" -1785162.51475654 -763518.407972264
"37" "Tamias_obscurus" -1784050.357641 -482032.132473186
"38" "Tamias_obscurus" -1773325.03626023 -502047.539161528
"39" "Tamias_obscurus" -1788951.54900862 -511992.435090429
"40" "Tamias_obscurus" -1791946.64122333 -693675.150304058
"41" "Tamias_canipes" -809673.525271783 -911713.335919296
"42" "Tamias_canipes" -835293.325037551 -750881.890227691
"43" "Tamias_canipes" -800280.440778015 -884785.122806233
"44" "Tamias_canipes" -782598.033976543 -894738.965285365
"45" "Tamias_canipes" -820171.635748292 -928300.548869718
"46" "Tamias_canipes" -798590.513810168 -974010.109047646
"47" "Tamias_canipes" -803626.596071198 -895313.289914109
"48" "Tamias_canipes" -847839.95413921 -701067.58840384
"49" "Tamias_canipes" -782511.848908565 -948325.827725976
"50" "Tamias_canipes" -787097.734927566 -882369.262838284
"51" "Tamias_alpinus" -1922268.74246995 -68169.8208635644
"52" "Tamias_alpinus" -1908583.22915013 -87237.9967724184
"53" "Tamias_alpinus" -1870244.12556108 -158114.819157745
"54" "Tamias_alpinus" -1931032.17420225 -19143.811703539
"55" "Tamias_alpinus" -1890464.26849346 -74713.2387824751
"56" "Tamias_alpinus" -1902064.00342924 -184534.666743411
"57" "Tamias_alpinus" -1871565.34022784 -142662.787015907
"58" "Tamias_alpinus" -1899198.24050443 -230347.716467474
"59" "Tamias_alpinus" -1864591.60179892 -149564.891742088
"60" "Tamias_alpinus" -1881041.07426211 -207423.287654118
"61" "Tamias_amoenus" -1045144.36419117 332977.951964904
"62" "Tamias_amoenus" -1435846.3802657 982632.237822154
"63" "Tamias_amoenus" -1375267.47494852 557853.019728233
"64" "Tamias_amoenus" -1850963.75529896 518490.533034492
"65" "Tamias_amoenus" -1986322.63904374 805971.133729918
"66" "Tamias_amoenus" -1694197.30686314 1298307.03824391
"67" "Tamias_amoenus" -1415978.83530546 1217902.7899459
"68" "Tamias_amoenus" -1108396.41808084 451701.592895829
"69" "Tamias_amoenus" -1446978.53614074 674252.980156315
"70" "Tamias_amoenus" -1402538.13844264 773319.660390121
"71" "Tamias_cinereicollis" -1122434.23218225 -663301.821570783
"72" "Tamias_cinereicollis" -1121279.58440103 -724868.131726047
