especie	sexo	sp.sex
C.flamarioni	Femea	C.flamarioniFemea
C.flamarioni	Femea	C.flamarioniFemea
C.flamarioni	Femea	C.flamarioniFemea
C.flamarioni	Femea	C.flamarioniFemea
C.flamarioni	Femea	C.flamarioniFemea
C.flamarioni	Macho	C.flamarioniMacho
C.flamarioni	Macho	C.flamarioniMacho
C.flamarioni	Macho	C.flamarioniMacho
C.flamarioni	Macho	C.flamarioniMacho
C.flamarioni	Macho	C.flamarioniMacho
C.minutus	Femea	C.minutusFemea
C.minutus	Femea	C.minutusFemea
C.minutus	Femea	C.minutusFemea
C.minutus	Femea	C.minutusFemea
C.minutus	Femea	C.minutusFemea
C.minutus	Macho	C.minutusMacho
C.minutus	Macho	C.minutusMacho
C.minutus	Macho	C.minutusMacho
C.minutus	Macho	C.minutusMacho
C.minutus	Macho	C.minutusMacho
C.torquatus	Femea	C.torquatusFemea
C.torquatus	Femea	C.torquatusFemea
C.torquatus	Femea	C.torquatusFemea
C.torquatus	Femea	C.torquatusFemea
C.torquatus	Femea	C.torquatusFemea
C.torquatus	Macho	C.torquatusMacho
C.torquatus	Macho	C.torquatusMacho
C.torquatus	Macho	C.torquatusMacho
C.torquatus	Macho	C.torquatusMacho
C.torquatus	Macho	C.torquatusMacho
