Species	Local	sp.local
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	alo	flaalo
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
fla	sym	flasym
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	alo	minalo
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
min	sym	minsym
